date,value
"2015,0,2",23.60561
"2015,0,5",32.78498
"2015,0,6",30.84758
"2015,0,7",27.72517
"2015,0,8",31.76537
"2015,0,9",22.85052
"2015,0,12",29.40078
"2015,0,13",31.47795
"2015,0,14",34.25029
"2015,0,15",47.18177
"2015,0,16",62.81219
"2015,0,20",35.92942
"2015,0,21",27.4426
"2015,0,22",31.8099
"2015,0,23",27.42706
"2015,0,26",30.90682
"2015,0,27",58.4562
"2015,0,28",34.9291
"2015,0,29",29.56938
"2015,0,30",38.71974
"2015,1,2",38.73375
"2015,1,3",36.03832
"2015,1,4",25.05275
"2015,1,5",20.49145
"2015,1,6",29.34245
"2015,1,9",28.70548
"2015,1,10",20.20001
"2015,1,11",18.36424
"2015,1,12",20.05666
"2015,1,13",18.03793
"2015,1,17",19.37415
"2015,1,18",19.99289
"2015,1,19",11.01754
"2015,1,20",20.95557
"2015,1,23",25.56553
"2015,1,24",29.60747
"2015,1,25",24.68627
"2015,1,26",25.92844
"2015,1,27",24.4273
"2015,2,2",25.40636
"2015,2,3",27.33198
"2015,2,4",23.0058
"2015,2,5",21.22581
"2015,2,6",32.37314
"2015,2,9",33.05879
"2015,2,10",50.27889
"2015,2,11",49.68365
"2015,2,12",107.4024
"2015,2,13",47.95471
"2015,2,16",33.07462
"2015,2,17",29.2156
"2015,2,18",39.83408
"2015,2,19",27.41423
"2015,2,20",64.77708
"2015,2,23",29.69395
"2015,2,24",28.47137
"2015,2,25",37.69097
"2015,2,26",45.45014
"2015,2,27",73.85723
"2015,2,30",51.39154
"2015,2,31",32.09846
"2015,3,1",31.53209
"2015,3,2",20.90963
"2015,3,6",21.49093
"2015,3,7",23.25826
"2015,3,8",18.25025
"2015,3,9",34.16759
"2015,3,10",28.08489
"2015,3,13",23.48902
"2015,3,14",39.75402
"2015,3,15",61.08345
"2015,3,16",28.9032
"2015,3,17",30.5936
"2015,3,20",20.64926
"2015,3,21",19.02384
"2015,3,22",21.14418
"2015,3,23",23.77529
"2015,3,24",22.75991
"2015,3,27",25.86958
"2015,3,28",29.57282
"2015,3,29",21.81902
"2015,3,30",22.01332
"2015,4,1",27.09125
"2015,4,4",21.39728
"2015,4,5",29.77918
"2015,4,6",31.98538
"2015,4,7",21.4753
"2015,4,8",26.92651
"2015,4,11",18.35858
"2015,4,12",24.5302
"2015,4,13",20.47084
"2015,4,14",21.09894
"2015,4,15",17.14969
"2015,4,18",23.68948
"2015,4,19",21.86713
"2015,4,20",21.3598
"2015,4,21",21.26978
"2015,4,22",20.84503
"2015,4,26",28.59451
"2015,4,27",30.17266
"2015,4,28",27.06569
"2015,4,29",43.5455
"2015,5,1",46.7345
"2015,5,2",36.3511
"2015,5,3",38.13869
"2015,5,4",33.76184
"2015,5,5",27.77852
"2015,5,8",38.17158
"2015,5,9",33.97674
"2015,5,10",33.33682
"2015,5,11",24.29363
"2015,5,12",31.62975
"2015,5,15",23.17499
"2015,5,16",20.25447
"2015,5,17",28.19423
"2015,5,18",27.72237
"2015,5,19",39.00838
"2015,5,22",23.60841
"2015,5,23",17.99595
"2015,5,24",23.31389
"2015,5,25",22.74328
"2015,5,26",62.15718
"2015,5,29",35.19445
"2015,5,30",34.4122
"2015,6,1",27.17892
"2015,6,2",27.10522
"2015,6,6",32.46807
"2015,6,7",43.83371
"2015,6,8",45.22383
"2015,6,9",47.1678
"2015,6,10",31.4238
"2015,6,13",26.45236
"2015,6,14",39.77825
"2015,6,15",47.85254
"2015,6,16",81.16669
"2015,6,17",43.69763
"2015,6,20",33.81294
"2015,6,21",45.19099
"2015,6,22",36.38717
"2015,6,23",33.77516
"2015,6,24",31.62103
"2015,6,27",42.16105
"2015,6,28",33.18243
"2015,6,29",26.47018
"2015,6,30",26.58244
"2015,6,31",27.15876
"2015,7,3",26.21358
"2015,7,4",25.74172
"2015,7,5",23.62273
"2015,7,6",27.95819
"2015,7,7",25.60613
"2015,7,10",22.80736
"2015,7,11",23.75886
"2015,7,12",33.63947
"2015,7,13",18.82195
"2015,7,14",14.3027
"2015,7,17",15.54832
"2015,7,18",19.18264
"2015,7,19",30.53014
"2015,7,20",31.93657
"2015,7,21",52.28839
"2015,7,24",83.23417
"2015,7,25",59.37186
"2015,7,26",47.38674
"2015,7,27",38.64942
"2015,7,28",43.45236
"2015,7,31",42.40183
"2015,8,1",44.14395
"2015,8,2",34.61881
"2015,8,3",38.66592
"2015,8,4",29.11754
"2015,8,8",27.80497
"2015,8,9",30.7741
"2015,8,10",25.19578
"2015,8,11",21.78688
"2015,8,14",24.06508
"2015,8,15",29.81902
"2015,8,16",25.95776
"2015,8,17",29.80525
"2015,8,18",60.69344
"2015,8,21",24.41713
"2015,8,22",28.57622
"2015,8,23",25.98395
"2015,8,24",32.75474
"2015,8,25",29.19232
"2015,8,28",42.29097
"2015,8,29",34.16956
"2015,8,30",41.05171
"2015,9,1",29.83284
"2015,9,2",27.90145
"2015,9,5",34.84251
"2015,9,6",35.5302
"2015,9,7",36.93007
"2015,9,8",27.79465
"2015,9,9",24.20992
"2015,9,12",18.79503
"2015,9,13",35.58861
"2015,9,14",75.95481
"2015,9,15",37.63479
"2015,9,16",29.37131
"2015,9,19",37.62403
"2015,9,20",24.41614
"2015,9,21",32.00529
"2015,9,22",39.57265
"2015,9,23",42.79663
"2015,9,26",22.6469
"2015,9,27",22.63011
"2015,9,28",21.90837
"2015,9,29",21.32519
"2015,9,30",24.69386
"2015,10,2",21.74308
"2015,10,3",18.16703
"2015,10,4",20.76206
"2015,10,5",16.48606
"2015,10,6",23.70165
"2015,10,9",24.16874
"2015,10,10",22.45169
"2015,10,11",19.86471
"2015,10,12",23.26539
"2015,10,13",23.67317
"2015,10,16",29.89966
"2015,10,17",22.63638
"2015,10,18",18.61976
"2015,10,19",45.38155
"2015,10,20",41.13775
"2015,10,23",20.15286
"2015,10,24",21.41354
"2015,10,25",17.93941
"2015,10,27",6.62086
"2015,10,30",21.78579
"2015,11,1",23.56024
"2015,11,2",18.68818
"2015,11,3",30.13106
"2015,11,4",24.90099
"2015,11,7",17.73189
"2015,11,8",13.38023
"2015,11,9",22.5483
"2015,11,10",17.40075
"2015,11,11",21.25142
"2015,11,14",19.52803
"2015,11,15",24.36586
"2015,11,16",23.25789
"2015,11,17",24.96356
"2015,11,18",41.33663
"2015,11,21",18.0068
"2015,11,22",18.42197
"2015,11,23",12.52653
"2015,11,24",5.89379
"2015,11,28",9.44939
"2015,11,29",14.18858
"2015,11,30",11.56679
"2015,11,31",14.73669
"2016,0,4",27.88219
"2016,0,5",16.70951
"2016,0,6",25.49126
"2016,0,7",37.68052
"2016,0,8",29.95384
"2016,0,11",27.73244
"2016,0,12",28.5877
"2016,0,13",34.44569
"2016,0,14",48.72815
"2016,0,15",76.37392
"2016,0,19",28.87811
"2016,0,20",39.59819
"2016,0,21",30.15738
"2016,0,22",25.32649
"2016,0,25",26.44098
"2016,0,26",24.75495
"2016,0,27",26.38414
"2016,0,28",22.02814
"2016,0,29",38.31136
"2016,1,1",19.01512
"2016,1,2",24.99428
"2016,1,3",44.66006
"2016,1,4",29.25784
"2016,1,5",27.95754
"2016,1,8",28.72593
"2016,1,9",22.90263
"2016,1,10",27.26778
"2016,1,11",28.45021
"2016,1,12",19.699
"2016,1,16",30.70523
"2016,1,17",27.69173
"2016,1,18",20.62326
"2016,1,19",42.0567
"2016,1,22",23.89315
"2016,1,23",26.63821
"2016,1,24",21.5936
"2016,1,25",17.57144
"2016,1,26",19.90222
"2016,1,29",22.90308
"2016,2,1",25.50257
"2016,2,2",23.77977
"2016,2,3",25.62521
"2016,2,4",20.35685
"2016,2,7",18.87995
"2016,2,8",19.10493
"2016,2,9",14.70781
"2016,2,10",29.58484
"2016,2,11",22.81123
"2016,2,14",17.43858
"2016,2,15",16.92775
"2016,2,16",26.29842
"2016,2,17",22.86529
"2016,2,18",49.93425
"2016,2,21",21.76087
"2016,2,22",22.20045
"2016,2,23",18.76532
"2016,2,24",14.21191
"2016,2,28",11.43302
"2016,2,29",15.31319
"2016,2,30",16.59802
"2016,2,31",17.88
"2016,3,1",18.04969
"2016,3,4",21.58163
"2016,3,5",20.08001
"2016,3,6",15.74061
"2016,3,7",23.73823
"2016,3,8",17.03188
"2016,3,11",19.70768
"2016,3,12",16.77421
"2016,3,13",19.96808
"2016,3,14",21.62089
"2016,3,15",28.78277
"2016,3,18",21.5666
"2016,3,19",33.61931
"2016,3,20",57.62979
"2016,3,21",28.43136
"2016,3,22",29.62564
"2016,3,25",19.31571
"2016,3,26",20.97636
"2016,3,27",20.00624
"2016,3,28",25.14639
"2016,3,29",36.44375
"2016,4,2",21.08663
"2016,4,3",27.11115
"2016,4,4",23.27878
"2016,4,5",23.39327
"2016,4,6",19.6322
"2016,4,9",16.88828
"2016,4,10",17.01382
"2016,4,11",15.75423
"2016,4,12",20.82669
"2016,4,13",19.99959
"2016,4,16",21.82607
"2016,4,17",25.7099
"2016,4,18",22.46995
"2016,4,19",21.74087
"2016,4,20",22.77725
"2016,4,23",20.88191
"2016,4,24",23.69923
"2016,4,25",18.42384
"2016,4,26",12.6923
"2016,4,27",13.3413
"2016,4,31",23.04022
"2016,5,1",17.75353
"2016,5,2",14.14013
"2016,5,3",15.77754
"2016,5,6",15.1396
"2016,5,7",19.33909
"2016,5,8",12.73209
"2016,5,9",11.27676
"2016,5,10",35.74911
"2016,5,13",23.00483
"2016,5,14",18.75428
"2016,5,15",23.78327
"2016,5,16",18.54785
"2016,5,17",27.04786
"2016,5,20",21.96158
"2016,5,21",15.47645
"2016,5,22",18.30476
"2016,5,23",22.04878
"2016,5,24",38.0943
"2016,5,27",35.45403
"2016,5,28",23.69387
"2016,5,29",22.77106
"2016,5,30",34.52892
"2016,6,1",17.08457
"2016,6,5",20.10719
"2016,6,6",21.07022
"2016,6,7",26.11945
"2016,6,8",23.34187
"2016,6,11",23.82067
"2016,6,12",28.06411
"2016,6,13",29.1209
"2016,6,14",25.29637
"2016,6,15",23.66186
"2016,6,18",19.34718
"2016,6,19",20.39542
"2016,6,20",42.99419
