date,value
"2015,0,2",36.36
"2015,0,5",35.95
"2015,0,6",35.28
"2015,0,7",36.02
"2015,0,8",36.69
"2015,0,9",36.76
"2015,0,12",36.6
"2015,0,13",36.5
"2015,0,14",36.35
"2015,0,15",36.19
"2015,0,16",36.45
"2015,0,20",36.09
"2015,0,21",36.48
"2015,0,22",36.91
"2015,0,23",36.445
"2015,0,26",35.805
"2015,0,27",34.185
"2015,0,28",33.775
"2015,0,29",34.21
"2015,0,30",33.04
"2015,1,2",33.65
"2015,1,3",33.7
"2015,1,4",33.6
"2015,1,5",33.94
"2015,1,6",33.295
"2015,1,9",32.93
"2015,1,10",33.7
"2015,1,11",33.55
"2015,1,12",34.125
"2015,1,13",34.36
"2015,1,17",34.735
"2015,1,18",34.265
"2015,1,19",34.21
"2015,1,20",34.41
"2015,1,23",33.76
"2015,1,24",34.41
"2015,1,25",33.945
"2015,1,26",33.65
"2015,1,27",33.25
"2015,2,2",34.06
"2015,2,3",34.095
"2015,2,4",34.12
"2015,2,5",33.73
"2015,2,6",33.19
"2015,2,9",32.72
"2015,2,10",31.7
"2015,2,11",32.33
"2015,2,12",30.8
"2015,2,13",30.93
"2015,2,16",30.83
"2015,2,17",30.59
"2015,2,18",30.89
"2015,2,19",30.74
"2015,2,20",31.31
"2015,2,23",31.2
"2015,2,24",30.79
"2015,2,25",29.89
"2015,2,26",30.08
"2015,2,27",32
"2015,2,30",31.46
"2015,2,31",31.27
"2015,3,1",30.81
"2015,3,2",30.81
"2015,3,6",31.04
"2015,3,7",31.26
"2015,3,8",31.31
"2015,3,9",31.24
"2015,3,10",31.93
"2015,3,13",31.73
"2015,3,14",31.49
"2015,3,15",32.83
"2015,3,16",32.87
"2015,3,17",32.47
"2015,3,20",32.73
"2015,3,21",32.43
"2015,3,22",32.7
"2015,3,23",32.35
"2015,3,24",32.08
"2015,3,27",32.5
"2015,3,28",33.02
"2015,3,29",32.885
"2015,3,30",32.55
"2015,4,1",33.42
"2015,4,4",33.43
"2015,4,5",32.64
"2015,4,6",32.22
"2015,4,7",32.245
"2015,4,8",32.8
"2015,4,11",32.69
"2015,4,12",32.25
"2015,4,13",32.64
"2015,4,14",32.97
"2015,4,15",32.99
"2015,4,18",33.41
"2015,4,19",33.15
"2015,4,20",33.37
"2015,4,21",33.55
"2015,4,22",33.45
"2015,4,26",33.105
"2015,4,27",33.71
"2015,4,28",34.01
"2015,4,29",34.46
"2015,5,1",33.905
"2015,5,2",33.27
"2015,5,3",32.73
"2015,5,4",32.31
"2015,5,5",31.84
"2015,5,8",31.3
"2015,5,9",31.25
"2015,5,10",31.82
"2015,5,11",31.85
"2015,5,12",31.32
"2015,5,15",31.39
"2015,5,16",31.635
"2015,5,17",31.95
"2015,5,18",32.38
"2015,5,19",32.07
"2015,5,22",32.26
"2015,5,23",32.085
"2015,5,24",31.91
"2015,5,25",31.99
"2015,5,26",31.02
"2015,5,29",30.39
"2015,5,30",30.415
"2015,6,1",30.18
"2015,6,2",30.555
"2015,6,6",30.04
"2015,6,7",29.9
"2015,6,8",29.5
"2015,6,9",28.93
"2015,6,10",29.17
"2015,6,13",29.73
"2015,6,14",29.65
"2015,6,15",29.69
"2015,6,16",29.9
"2015,6,17",29.47
"2015,6,20",29.1
"2015,6,21",28.72
"2015,6,22",28.605
"2015,6,23",28.595
"2015,6,24",28.06
"2015,6,27",28.35
"2015,6,28",28.96
"2015,6,29",29.01
"2015,6,30",28.91
"2015,6,31",28.95
"2015,7,3",29.05
"2015,7,4",29.13
"2015,7,5",29.12
"2015,7,6",29.01
"2015,7,7",28.88
"2015,7,10",29.64
"2015,7,11",28.97
"2015,7,12",29.46
"2015,7,13",28.87
"2015,7,14",29.02
"2015,7,17",29.08
"2015,7,18",28.91
"2015,7,19",28.36
"2015,7,20",27.53
"2015,7,21",26.56
"2015,7,24",26.25
"2015,7,25",25.87
"2015,7,26",27.3
"2015,7,27",27.72
"2015,7,28",28.42
"2015,7,31",28.54
"2015,8,1",27.82
"2015,8,2",28.6
"2015,8,3",29.08
"2015,8,4",28.52
"2015,8,8",29.5
"2015,8,9",29.24
"2015,8,10",29.27
"2015,8,11",29.47
"2015,8,14",29.39
"2015,8,15",29.73
"2015,8,16",29.77
"2015,8,17",29.71
"2015,8,18",29.02
"2015,8,21",29.16
"2015,8,22",28.67
"2015,8,23",28.74
"2015,8,24",28.48
"2015,8,25",28.81
"2015,8,28",28.76
"2015,8,29",29.24
"2015,8,30",30.14
"2015,9,1",30
"2015,9,2",30.51
"2015,9,5",31.21
"2015,9,6",31.74
"2015,9,7",32.315
"2015,9,8",32.52
"2015,9,9",32.14
"2015,9,12",32.21
"2015,9,13",32.04
"2015,9,14",32.8
"2015,9,15",32.75
"2015,9,16",33.04
"2015,9,19",33.59
"2015,9,20",33.44
"2015,9,21",33.37
"2015,9,22",34.4
"2015,9,23",34.9
"2015,9,26",34.59
"2015,9,27",34.47
"2015,9,28",34.71
"2015,9,29",34.03
"2015,9,30",33.86
"2015,10,2",34.11
"2015,10,3",34.31
"2015,10,4",34.15
"2015,10,5",34
"2015,10,6",33.84
"2015,10,9",33.35
"2015,10,10",33.21
"2015,10,11",32.86
"2015,10,12",32.4
"2015,10,13",32.11
"2015,10,16",32.1
"2015,10,17",32.64
"2015,10,18",33.16
"2015,10,19",34.3
"2015,10,20",34.66
"2015,10,23",34.48
"2015,10,24",34.36
"2015,10,25",34.45
"2015,10,27",34.46
"2015,10,30",34.77
"2015,11,1",35.09
"2015,11,2",34.83
"2015,11,3",34.04
"2015,11,4",34.935
"2015,11,7",34.985
"2015,11,8",34.75
"2015,11,9",34.81
"2015,11,10",34.77
"2015,11,11",34.27
"2015,11,14",34.47
"2015,11,15",35.18
"2015,11,16",35.3
"2015,11,17",34.91
"2015,11,18",33.865
"2015,11,21",34.24
"2015,11,22",34.73
"2015,11,23",35
"2015,11,24",34.98
"2015,11,28",34.93
"2015,11,29",35.44
"2015,11,30",34.99
"2015,11,31",34.45
"2016,0,4",33.99
"2016,0,5",33.83
"2016,0,6",33.08
"2016,0,7",31.84
"2016,0,8",31.51
"2016,0,11",32.06
"2016,0,12",32.68
"2016,0,13",31.91
"2016,0,14",32.74
"2016,0,15",29.76
"2016,0,19",29.8
"2016,0,20",29.59
"2016,0,21",29.66
"2016,0,22",29.925
"2016,0,25",29.6
"2016,0,26",29.94
"2016,0,27",29.81
"2016,0,28",29.97
"2016,0,29",31.02
"2016,1,1",30.82
"2016,1,2",29.8
"2016,1,3",29.34
"2016,1,4",29.77
"2016,1,5",29.04
"2016,1,8",28.82
"2016,1,9",28.81
"2016,1,10",28.23
"2016,1,11",28.22
"2016,1,12",28.64
"2016,1,16",28.78
"2016,1,17",29.47
"2016,1,18",29.42
"2016,1,19",28.71
"2016,1,22",29.35
"2016,1,23",28.8
"2016,1,24",29.19
"2016,1,25",29.62
"2016,1,26",29.8
"2016,1,29",29.59
"2016,2,1",30.37
"2016,2,2",30.54
"2016,2,3",30.58
"2016,2,4",30.63
"2016,2,7",30.94
"2016,2,8",30.56
"2016,2,9",30.865
"2016,2,10",31.25
"2016,2,11",31.76
"2016,2,14",31.43
"2016,2,15",31.65
"2016,2,16",31.69
"2016,2,17",31.98
"2016,2,18",32.68
"2016,2,21",32.34
"2016,2,22",32.32
"2016,2,23",32
"2016,2,24",31.88
"2016,2,28",31.9
"2016,2,29",32.38
"2016,2,30",32.71
"2016,2,31",32.35
"2016,3,1",32.45
"2016,3,4",32
"2016,3,5",31.9
"2016,3,6",32.08
"2016,3,7",31.55
"2016,3,8",31.63
"2016,3,11",31.67
"2016,3,12",31.86
"2016,3,13",32.13
"2016,3,14",31.8
"2016,3,15",31.46
"2016,3,18",31.65
"2016,3,19",31.6
"2016,3,20",32
"2016,3,21",31.97
"2016,3,22",31.64
"2016,3,25",31.39
"2016,3,26",31.4
"2016,3,27",31.75
"2016,3,28",31.11
"2016,3,29",30.28
"2016,4,2",30.61
"2016,4,3",30.36
"2016,4,4",29.85
"2016,4,5",29.9
"2016,4,6",30.04
"2016,4,9",29.8
"2016,4,10",30.14
"2016,4,11",30.06
"2016,4,12",29.76
"2016,4,13",29.91
"2016,4,16",30.39
"2016,4,17",29.98
"2016,4,18",29.99
"2016,4,19",29.63
"2016,4,20",30.15
"2016,4,23",30.23
"2016,4,24",31.06
"2016,4,25",31.39
"2016,4,26",31.49
"2016,4,27",31.57
"2016,4,31",31.59
"2016,5,1",31.66
"2016,5,2",31.76
"2016,5,3",31.62
"2016,5,6",31.68
"2016,5,7",31.88
"2016,5,8",31.89
"2016,5,9",31.94
"2016,5,10",32.04
"2016,5,13",32.17
"2016,5,14",32.14
"2016,5,15",31.61
"2016,5,16",31.69
"2016,5,17",31.76
"2016,5,20",32.17
"2016,5,21",32.32
"2016,5,22",32.29
"2016,5,23",32.99
"2016,5,24",31.55
"2016,5,27",30.72
"2016,5,28",31.19
"2016,5,29",31.93
"2016,5,30",32.8
"2016,6,1",32.75
"2016,6,5",32.68
"2016,6,6",32.97
