date,value
"2016,6,7",33.2
"2016,6,8",34
"2016,6,11",34.38
"2016,6,12",34.94
"2016,6,13",35.01
"2016,6,14",35.2
"2016,6,15",35.07
"2016,6,18",35.05
"2016,6,19",35.15
"2016,6,20",35.69
"2016,6,21",34.27
"2016,6,22",34.66
"2016,6,25",34.69
"2016,6,26",35.09
"2016,6,27",34.83
"2016,6,28",34.77
"2016,6,29",34.86
"2016,7,1",34.85
"2016,7,2",34.56
"2016,7,3",34.25
"2016,7,4",34.58
"2016,7,5",34.98
"2016,7,8",35.04
"2016,7,9",34.92
"2016,7,10",34.53
"2016,7,11",34.68
"2016,7,12",34.57
"2016,7,15",34.91
"2016,7,16",35.21
"2016,7,17",35.02
"2016,7,18",34.97
"2016,7,19",35.24
"2016,7,22",35.36
"2016,7,23",35.4
"2016,7,24",35.15
"2016,7,25",35.09
"2016,7,26",35.26
"2016,7,29",35.55
"2016,7,30",35.7
"2016,7,31",35.89
"2016,8,1",36.02
"2016,8,2",36.08
"2016,8,6",36.57
"2016,8,7",36.46
"2016,8,8",36.44
"2016,8,9",35.44
"2016,8,12",36.08
"2016,8,13",35.61
"2016,8,14",35.62
"2016,8,15",36.56
"2016,8,16",37.67
"2016,8,19",37.16
"2016,8,20",37.14
"2016,8,21",37.45
"2016,8,22",37.55
"2016,8,23",37.19
"2016,8,26",36.65
"2016,8,27",37.18
"2016,8,28",37.44
"2016,8,29",37.32
"2016,8,30",37.75
"2016,9,3",37.66
"2016,9,4",37.54
"2016,9,5",37.99
"2016,9,6",38.07
"2016,9,7",38.1
"2016,9,10",38.02
"2016,9,11",37.27
"2016,9,12",37.13
"2016,9,13",36.97
"2016,9,14",37.45
"2016,9,17",37.29
"2016,9,18",37.75
"2016,9,19",35.51
"2016,9,20",35.43
"2016,9,21",35.15
"2016,9,24",35.26
"2016,9,25",35.1
"2016,9,26",34.92
"2016,9,27",34.81
"2016,9,28",34.74
"2016,9,31",34.87
"2016,10,1",34.52
"2016,10,2",34.6
"2016,10,3",33.93
"2016,10,4",33.61
"2016,10,7",34.69
"2016,10,8",34.74
"2016,10,9",34.75
"2016,10,10",34.5
"2016,10,11",34.61
"2016,10,14",34.48
"2016,10,15",34.91
"2016,10,16",34.84
"2016,10,17",35.02
"2016,10,18",34.95
"2016,10,21",34.98
"2016,10,22",35.48
"2016,10,23",35.2
"2016,10,25",35.44
"2016,10,28",35.51
"2016,10,29",35.31
"2016,10,30",34.7
"2016,11,1",33.76
"2016,11,2",34.16
"2016,11,5",34.39
"2016,11,6",34.72
"2016,11,7",35.5
"2016,11,8",35.7
"2016,11,9",35.76
"2016,11,12",35.97
"2016,11,13",36.8
"2016,11,14",36.55
"2016,11,15",36.79
"2016,11,16",36.31
"2016,11,19",36.89
"2016,11,20",37.21
"2016,11,21",36.98
"2016,11,22",36.93
"2016,11,23",36.97
"2016,11,27",37.07
"2016,11,28",36.63
"2016,11,29",36.66
"2016,11,30",36.27
"2017,0,3",36.6
"2017,0,4",36.41
"2017,0,5",36.35
"2017,0,6",36.48
"2017,0,9",36.61
"2017,0,10",36.54
"2017,0,11",36.95
"2017,0,12",36.71
"2017,0,13",36.79
"2017,0,17",36.8
"2017,0,18",36.76
"2017,0,19",36.57
"2017,0,20",36.94
"2017,0,23",36.77
"2017,0,24",37.62
"2017,0,25",37.8
"2017,0,26",37.56
"2017,0,27",37.98
"2017,0,30",37.42
"2017,0,31",36.82
"2017,1,1",36.52
"2017,1,2",36.68
"2017,1,3",36.52
"2017,1,6",36.27
"2017,1,7",36.35
"2017,1,8",36.38
"2017,1,9",35.46
"2017,1,10",35.34
"2017,1,13",35.8
"2017,1,14",35.93
"2017,1,15",36.05
"2017,1,16",36.41
"2017,1,17",36.48
"2017,1,21",36.52
"2017,1,22",36.07
"2017,1,23",36.18
"2017,1,24",36.53
"2017,1,27",36.51
"2017,1,28",36.2
"2017,2,1",35.93
"2017,2,2",35.91
"2017,2,3",35.9
"2017,2,6",35.57
"2017,2,7",35.8
"2017,2,8",35.62
"2017,2,9",35.82
"2017,2,10",35.91
"2017,2,13",35.16
"2017,2,14",35.18
"2017,2,15",35.1
"2017,2,16",35.14
"2017,2,17",35.27
"2017,2,20",35.43
"2017,2,21",35.04
"2017,2,22",35.37
"2017,2,23",35.27
"2017,2,24",35.16
"2017,2,27",35.39
"2017,2,28",35.6
"2017,2,29",35.57
"2017,2,30",35.75
"2017,2,31",36.07
"2017,3,3",36.16
"2017,3,4",36.28
"2017,3,5",36.22
"2017,3,6",36.03
"2017,3,7",36.03
"2017,3,10",35.8
"2017,3,11",35.74
"2017,3,12",35.63
"2017,3,13",35.25
"2017,3,17",35.48
"2017,3,18",35.765
"2017,3,19",35.91
"2017,3,20",36.18
"2017,3,21",36.32
"2017,3,24",36.75
"2017,3,25",36.87
"2017,3,26",36.93
"2017,3,27",37.43
"2017,3,28",36.15
"2017,4,1",36.31
"2017,4,2",36.97
"2017,4,3",36.98
"2017,4,4",36.85
"2017,4,5",36.82
"2017,4,8",36.54
"2017,4,9",36.37
"2017,4,10",36.01
"2017,4,11",35.69
"2017,4,12",35.53
"2017,4,15",35.63
"2017,4,16",35.82
"2017,4,17",35.04
"2017,4,18",35.22
"2017,4,19",35.4
"2017,4,22",35.77
"2017,4,23",35.86
"2017,4,24",36.12
"2017,4,25",36.26
"2017,4,26",36.26
"2017,4,30",36.18
"2017,4,31",36.11
"2017,5,1",36.12
"2017,5,2",36.32
"2017,5,2,10,8,1",34.21
"2017,5,2,10,8,31",34.21
"2017,5,2,10,9,1",34.21
"2017,5,2,10,9,31",34.21
"2017,5,2,10,10,1",34.21
"2017,5,2,10,10,31",34.21
"2017,5,2,10,11,1",34.21
"2017,5,2,10,11,31",34.21
"2017,5,2,10,12,1",34.21
"2017,5,2,10,12,31",34.21
"2017,5,2,10,13,1",34.21
"2017,5,2,10,13,31",34.21
"2017,5,2,10,14,1",34.21
"2017,5,2,10,14,31",34.21
"2017,5,2,10,15,1",34.21
"2017,5,2,10,15,31",34.21
"2017,5,2,10,16,1",34.21
"2017,5,2,10,16,31",34.21
"2017,5,2,10,17,1",34.17
"2017,5,2,10,17,31",34.17
"2017,5,2,10,18,1",34.17
"2017,5,2,10,18,31",34.17
"2017,5,2,10,19,1",34.17
"2017,5,2,10,19,31",34.17
"2017,5,2,10,20,1",34.17
"2017,5,2,10,20,31",34.17
"2017,5,2,10,21,1",34.17
"2017,5,2,10,21,31",34.17
"2017,5,2,10,22,1",34.17
"2017,5,2,10,22,31",34.17
"2017,5,2,10,23,1",34.17
"2017,5,2,10,23,31",34.17
"2017,5,2,10,24,1",34.17
"2017,5,2,10,24,31",34.17
"2017,5,2,10,25,1",34.17
"2017,5,2,10,25,31",34.17
"2017,5,2,10,26,1",34.17
"2017,5,2,10,26,31",34.13
"2017,5,2,10,27,1",34.13
"2017,5,2,10,27,31",34.13
"2017,5,2,10,28,1",34.13
"2017,5,2,10,28,31",34.13
"2017,5,2,10,29,1",34.13
"2017,5,2,10,29,31",34.13
"2017,5,2,10,30,1",34.13
"2017,5,2,10,30,31",34.13
"2017,5,2,10,31,1",34.13
"2017,5,2,10,31,31",34.13
"2017,5,2,10,32,1",34.13
"2017,5,2,10,32,31",34.13
"2017,5,2,10,33,1",34.13
"2017,5,2,10,33,31",34.13
"2017,5,2,10,34,1",34.13
"2017,5,2,10,34,31",34.13
"2017,5,2,10,35,1",34.13
"2017,5,2,10,35,31",34.13
"2017,5,2,10,36,1",34.13
"2017,5,2,10,36,31",34.13
"2017,5,2,10,37,1",34.13
"2017,5,2,10,37,31",34.13
"2017,5,2,10,38,1",34.13
"2017,5,2,10,38,31",34.15
"2017,5,2,10,39,2",34.15
"2017,5,2,10,39,31",34.15
"2017,5,2,10,40,1",34.15
"2017,5,2,10,40,31",34.15
"2017,5,2,10,41,1",34.15
"2017,5,2,10,41,31",34.15
"2017,5,2,10,42,2",34.15
"2017,5,2,10,42,32",34.15
"2017,5,2,10,43,1",34.15
"2017,5,2,10,43,31",34.15
"2017,5,2,10,44,1",34.15
"2017,5,2,10,44,31",34.15
"2017,5,2,10,45,1",34.15
"2017,5,2,10,45,31",34.15
"2017,5,2,10,46,1",34.15
"2017,5,2,10,46,31",34.15
"2017,5,2,10,47,1",34.05
"2017,5,2,10,47,31",34.05
"2017,5,2,10,48,1",34.05
"2017,5,2,10,48,31",34.05
"2017,5,2,10,49,1",34.05
"2017,5,2,10,49,31",34.05
"2017,5,2,10,50,1",34.05
"2017,5,2,10,50,31",34.05
"2017,5,2,10,51,1",34.05
"2017,5,2,10,51,31",34.05
"2017,5,2,10,52,1",34.05
"2017,5,2,10,52,31",34.05
"2017,5,2,10,53,1",34.05
"2017,5,2,10,53,31",34.05
"2017,5,2,10,54,1",34.05
"2017,5,2,10,54,31",34.05
"2017,5,2,10,55,1",34.05
"2017,5,2,10,55,31",34.05
"2017,5,2,10,56,1",34.05
"2017,5,2,10,56,31",34.01
"2017,5,2,10,57,1",34.01
"2017,5,2,10,57,31",34.01
"2017,5,2,10,58,1",34.01
"2017,5,2,10,58,31",34.01
"2017,5,2,10,59,1",34.01
"2017,5,2,10,59,31",34.01
"2017,5,2,11,0,1",34.01
"2017,5,2,11,0,31",34.01
"2017,5,2,11,1,1",34.01
"2017,5,2,11,1,31",34.01
"2017,5,2,11,2,1",34.01
"2017,5,2,11,2,31",34.01
"2017,5,2,11,3,1",34.01
"2017,5,2,11,3,31",34.01
"2017,5,2,11,4,1",34.01
"2017,5,2,11,4,31",34.01
"2017,5,2,11,5,1",34.01
"2017,5,2,11,5,31",34.01
"2017,5,2,11,6,1",34.01
"2017,5,2,11,6,31",34.02
"2017,5,2,11,7,1",34.02
"2017,5,2,11,7,31",34.02
"2017,5,2,11,8,1",34.02
"2017,5,2,11,8,31",34.02
"2017,5,2,11,9,1",34.02
"2017,5,2,11,9,31",34.02
"2017,5,2,11,10,1",34.02
"2017,5,2,11,10,31",34.02
"2017,5,2,11,11,1",34.02
"2017,5,2,11,11,31",34.02
"2017,5,2,11,12,1",34.02
"2017,5,2,11,12,31",34.02
"2017,5,2,11,13,1",34.02
"2017,5,2,11,13,31",34.02
"2017,5,2,11,14,1",34.02
"2017,5,2,11,14,31",34.02
"2017,5,2,11,15,1",34.02
"2017,5,2,11,15,31",34.02
"2017,5,2,11,16,1",34.02
"2017,5,2,11,16,31",34.03
"2017,5,2,11,17,1",34.03
"2017,5,2,11,17,31",34.03
"2017,5,2,11,18,1",34.03
"2017,5,2,11,18,31",34.03
"2017,5,2,11,19,1",34.03
"2017,5,2,11,19,31",34.03
"2017,5,2,11,20,1",34.03
"2017,5,2,11,20,31",34.03
"2017,5,2,11,21,1",34.03
"2017,5,2,11,21,31",34.03
"2017,5,2,11,22,1",34.03
"2017,5,2,11,22,31",34.03
"2017,5,2,11,23,1",34.03
"2017,5,2,11,23,31",34.03
"2017,5,2,11,24,1",34.03
"2017,5,2,11,24,31",34.03
"2017,5,2,11,25,1",34.03
"2017,5,2,11,25,31",34.03
"2017,5,2,11,26,1",34.03
"2017,5,2,11,26,31",34.03
"2017,5,2,11,27,2",34.03
"2017,5,2,11,27,32",34.03
"2017,5,2,11,28,1",34.03
"2017,5,2,11,28,31",34.03
"2017,5,2,11,29,1",34.03
"2017,5,2,11,29,31",34.03
"2017,5,2,11,30,1",34.03
"2017,5,2,11,30,31",34.03
"2017,5,2,11,31,1",34.03
"2017,5,2,11,31,31",34.03
"2017,5,2,11,32,1",34.03
"2017,5,2,11,32,31",34.03
"2017,5,2,11,33,1",34.03
"2017,5,2,11,33,31",34.03
"2017,5,2,11,34,1",34.03
"2017,5,2,11,34,31",34.03
"2017,5,2,11,35,1",34.03
"2017,5,2,11,35,31",34.03
"2017,5,2,11,36,1",34.03
"2017,5,2,11,36,31",34.03
"2017,5,2,11,37,1",34.03
"2017,5,2,11,37,31",34.03
"2017,5,2,11,38,2",34.03
"2017,5,2,11,38,32",34.03
"2017,5,2,11,39,1",34.03
"2017,5,2,11,39,31",34.03
"2017,5,2,11,40,1",34.03
"2017,5,2,11,40,31",34.06
"2017,5,2,11,41,1",34.06
"2017,5,2,11,41,31",34.06
"2017,5,2,11,42,1",34.06
"2017,5,2,11,42,31",34.06
"2017,5,2,11,43,1",34.06
"2017,5,2,11,43,31",34.06
"2017,5,2,11,44,1",34.06
"2017,5,2,11,44,31",34.06
"2017,5,2,11,45,1",34.06
"2017,5,2,11,45,31",34.06
"2017,5,2,11,46,1",34.06
"2017,5,2,11,46,31",34.06
"2017,5,2,11,47,1",34.06
"2017,5,2,11,47,31",34.06
"2017,5,2,11,48,1",34.06
"2017,5,2,11,48,31",34.06
"2017,5,2,11,49,1",34.06
"2017,5,2,11,49,31",34.06
"2017,5,2,11,50,1",34.06
"2017,5,2,11,50,31",34.06
"2017,5,2,11,51,1",34.06
"2017,5,2,11,51,31",34.06
"2017,5,2,11,52,1",34.06
"2017,5,2,11,52,31",34.06
"2017,5,2,11,53,1",34.06
"2017,5,2,11,53,31",34.06
"2017,5,2,11,54,1",34.06
"2017,5,2,11,54,31",34.06
"2017,5,2,11,55,1",34.06
"2017,5,2,11,55,31",34.06
"2017,5,2,11,56,1",34.06
"2017,5,2,11,56,31",34.04
"2017,5,2,11,57,1",34.04
"2017,5,2,11,57,31",34.04
"2017,5,2,11,58,1",34.04
"2017,5,2,11,58,31",34.04
"2017,5,2,11,59,1",34.04
"2017,5,2,11,59,31",34.04
"2017,5,2,12,0,1",34.04
"2017,5,2,12,0,31",34.04
"2017,5,2,12,1,1",34.04
"2017,5,2,12,1,31",34.04
"2017,5,2,12,2,1",34.04
"2017,5,2,12,2,31",34.04
"2017,5,2,12,3,1",34.04
"2017,5,2,12,3,31",34.04
"2017,5,2,12,4,1",34.04
"2017,5,2,12,4,31",34.04
"2017,5,2,12,5,1",34.04
"2017,5,2,12,5,31",34.04
"2017,5,2,12,6,1",34.04
"2017,5,2,12,6,31",34.04
"2017,5,2,12,7,1",34.04
"2017,5,2,12,7,31",34.16
"2017,5,2,12,8,1",34.16
"2017,5,2,12,8,31",34.16
"2017,5,2,12,9,1",34.16
"2017,5,2,12,9,31",34.16
"2017,5,2,12,10,1",34.16
"2017,5,2,12,10,31",34.16
"2017,5,2,12,11,1",34.16
"2017,5,2,12,11,31",34.16
"2017,5,2,12,12,1",34.16
"2017,5,2,12,12,31",34.16
"2017,5,2,12,13,1",34.16
"2017,5,2,12,13,31",34.16
"2017,5,2,12,14,1",34.16
"2017,5,2,12,14,31",34.16
"2017,5,2,12,15,1",34.16
"2017,5,2,12,15,31",34.16
"2017,5,2,12,16,1",34.16
"2017,5,2,12,16,31",34.16
"2017,5,2,12,17,1",34.12
"2017,5,2,12,17,31",34.12
"2017,5,2,12,18,1",34.12
"2017,5,2,12,18,31",34.12
"2017,5,2,12,19,1",34.12
"2017,5,2,12,19,31",34.12
"2017,5,2,12,20,1",34.12
"2017,5,2,12,20,31",34.12
"2017,5,2,12,21,1",34.12
"2017,5,2,12,21,31",34.12
"2017,5,2,12,22,1",34.12
"2017,5,2,12,22,31",34.12
"2017,5,2,12,23,1",34.12
"2017,5,2,12,23,31",34.12
"2017,5,2,12,24,1",34.12
"2017,5,2,12,24,31",34.12
"2017,5,2,12,25,1",34.12
"2017,5,2,12,25,31",34.12
"2017,5,2,12,26,1",34.12
"2017,5,2,12,26,31",34.13
"2017,5,2,12,27,1",34.13
"2017,5,2,12,27,31",34.13
"2017,5,2,12,28,1",34.13
"2017,5,2,12,28,31",34.13
"2017,5,2,12,29,1",34.13
"2017,5,2,12,29,31",34.13
"2017,5,2,12,30,1",34.13
"2017,5,2,12,30,31",34.13
"2017,5,2,12,31,1",34.13
"2017,5,2,12,31,31",34.13
"2017,5,2,12,32,1",34.13
"2017,5,2,12,32,31",34.13
"2017,5,2,12,33,1",34.13
"2017,5,2,12,33,31",34.13
"2017,5,2,12,34,1",34.13
"2017,5,2,12,34,31",34.13
"2017,5,2,12,35,1",34.13
"2017,5,2,12,35,31",34.13
"2017,5,2,12,36,1",34.13
"2017,5,2,12,36,31",34.15
"2017,5,2,12,37,1",34.15
"2017,5,2,12,37,31",34.15
"2017,5,2,12,38,1",34.15
"2017,5,2,12,38,31",34.15
"2017,5,2,12,39,1",34.15
"2017,5,2,12,39,31",34.15
"2017,5,2,12,40,1",34.15
"2017,5,2,12,40,31",34.15
"2017,5,2,12,41,1",34.15
"2017,5,2,12,41,31",34.15
"2017,5,2,12,42,1",34.15
"2017,5,2,12,42,31",34.15
"2017,5,2,12,43,1",34.15
"2017,5,2,12,43,31",34.15
"2017,5,2,12,44,1",34.15
"2017,5,2,12,44,31",34.15
"2017,5,2,12,45,1",34.15
"2017,5,2,12,45,31",34.15
"2017,5,2,12,46,1",34.15
"2017,5,2,12,46,31",34.15
"2017,5,2,12,47,1",34.15
"2017,5,2,12,47,31",34.15
"2017,5,2,12,48,1",34.15
"2017,5,2,12,48,31",34.15
"2017,5,2,12,49,1",34.15
"2017,5,2,12,49,31",34.15
"2017,5,2,12,50,1",34.15
"2017,5,2,12,50,31",34.15
"2017,5,2,12,51,1",34.15
"2017,5,2,12,51,31",34.15
"2017,5,2,12,52,1",34.15
"2017,5,2,12,52,31",34.15
"2017,5,2,12,53,1",34.15
"2017,5,2,12,53,31",34.15
"2017,5,2,12,54,1",34.15
"2017,5,2,12,54,31",34.15
"2017,5,2,12,55,1",34.15
"2017,5,2,12,55,31",34.15
"2017,5,2,12,56,1",34.15
"2017,5,2,12,56,31",34.15
"2017,5,2,12,57,1",34.15
"2017,5,2,12,57,31",34.15
"2017,5,2,12,58,1",34.15
"2017,5,2,12,58,31",34.15
"2017,5,2,12,59,1",34.15
"2017,5,2,12,59,31",34.15
"2017,5,2,13,0,31",34.12
"2017,5,2,13,1,1",34.12
"2017,5,2,13,1,31",34.12
"2017,5,2,13,2,1",34.12
"2017,5,2,13,2,31",34.12
"2017,5,2,13,3,2",34.12
"2017,5,2,13,3,32",34.12
"2017,5,2,13,4,1",34.12
"2017,5,2,13,4,31",34.12
"2017,5,2,13,5,1",34.12
"2017,5,2,13,5,31",34.12
"2017,5,2,13,6,1",34.12
"2017,5,2,13,6,31",34.12
"2017,5,2,13,7,1",34.12
"2017,5,2,13,7,31",34.08
"2017,5,2,13,8,1",34.08
"2017,5,2,13,8,31",34.08
"2017,5,2,13,9,1",34.08
"2017,5,2,13,9,31",34.08
"2017,5,2,13,10,1",34.08
"2017,5,2,13,10,31",34.08
"2017,5,2,13,11,1",34.08
"2017,5,2,13,11,31",34.08
"2017,5,2,13,12,1",34.08
"2017,5,2,13,12,31",34.08
"2017,5,2,13,13,1",34.08
"2017,5,2,13,13,31",34.08
"2017,5,2,13,14,1",34.08
