date,value
"2015,4,6",60.1851851851852
"2015,4,7",59.6153846153846
"2015,4,8",60.1941747572816
"2015,4,11",60.1941747572816
"2015,4,12",61.8556701030928
"2015,4,13",62.1052631578947
"2015,4,14",62.2222222222222
"2015,4,15",63.4146341463415
"2015,4,18",63.3802816901408
"2015,4,19",64.6153846153846
"2015,4,20",64.0625
"2015,4,21",64.5161290322581
"2015,4,22",63.3333333333333
"2015,4,26",64.4067796610169
"2015,4,27",68.2539682539683
"2015,4,28",70.4225352112676
"2015,4,29",69.7368421052632
"2015,5,1",73.5849056603774
"2015,5,2",76.6355140186916
"2015,5,3",79.4392523364486
"2015,5,4",79.6296296296296
"2015,5,5",79.0476190476191
"2015,5,8",80
"2015,5,9",80.188679245283
"2015,5,10",80.5555555555556
"2015,5,11",80.5555555555556
"2015,5,12",80.5555555555556
"2015,5,15",80
"2015,5,16",80.5825242718447
"2015,5,17",81.5533980582524
"2015,5,18",82.1052631578947
"2015,5,19",84.6153846153846
"2015,5,22",84.6153846153846
"2015,5,23",84.6153846153846
"2015,5,24",83.695652173913
"2015,5,25",83.8709677419355
"2015,5,26",82.6086956521739
"2015,5,29",80.6818181818182
"2015,5,30",80
"2015,6,1",83.3333333333333
"2015,6,2",72.093023255814
"2015,6,6",70.2702702702703
"2015,6,7",65.7894736842105
"2015,6,8",68.75
"2015,6,9",70.3703703703704
"2015,6,10",64.4444444444444
"2015,6,13",72.5490196078431
"2015,6,14",67.2727272727273
"2015,6,15",60.5263157894737
"2015,6,16",62.9213483146067
"2015,6,17",62.2222222222222
"2015,6,20",63.5416666666667
"2015,6,21",62.8865979381443
"2015,6,22",60.377358490566
"2015,6,23",61.1111111111111
"2015,6,24",60.7476635514019
"2015,6,27",61.8181818181818
"2015,6,28",64.957264957265
"2015,6,29",64.7058823529412
"2015,6,30",66.1157024793388
"2015,6,31",66.1157024793388
"2015,7,3",65.5737704918033
"2015,7,4",66.6666666666667
"2015,7,5",68.9655172413793
"2015,7,6",68.9655172413793
"2015,7,7",69.6428571428571
"2015,7,10",68.3168316831683
"2015,7,11",68.0412371134021
"2015,7,12",68.0412371134021
"2015,7,13",64.7727272727273
"2015,7,14",67.4698795180723
"2015,7,17",75.8064516129032
"2015,7,18",76.4705882352941
"2015,7,19",79.2452830188679
"2015,7,20",78.7234042553192
"2015,7,21",80
"2015,7,24",90
"2015,7,25",88.0952380952381
"2015,7,26",88.0952380952381
"2015,7,27",85
"2015,7,28",82.3529411764706
"2015,7,31",81.8181818181818
"2015,8,1",78.125
"2015,8,2",82.8571428571429
"2015,8,3",85.7142857142857
"2015,8,4",84.375
"2015,8,8",84.375
"2015,8,9",85.2941176470588
"2015,8,10",82.8571428571429
"2015,8,11",84.6153846153846
"2015,8,14",83.3333333333333
"2015,8,15",81.8181818181818
"2015,8,16",81.3953488372093
"2015,8,17",81.3953488372093
"2015,8,18",81.3953488372093
"2015,8,21",80.4878048780488
"2015,8,22",79.4871794871795
"2015,8,23",80
"2015,8,24",80
"2015,8,25",80.5555555555556
"2015,8,28",81.25
"2015,8,29",78.7878787878788
"2015,8,30",79.4117647058823
"2015,9,1",76.4705882352941
"2015,9,2",78.125
"2015,9,5",82.3529411764706
"2015,9,6",82.8571428571429
"2015,9,7",82.3529411764706
"2015,9,8",80.5555555555556
"2015,9,9",80
"2015,9,12",80
"2015,9,13",75
"2015,9,14",78.125
"2015,9,15",75
"2015,9,16",75.8064516129032
"2015,9,19",76.1904761904762
"2015,9,20",72.7272727272727
"2015,9,21",73.9130434782609
"2015,9,22",70.6666666666667
"2015,9,23",70.2702702702703
"2015,9,26",71.0526315789474
"2015,9,27",71.4285714285714
"2015,9,28",71.7948717948718
"2015,9,29",71.6049382716049
"2015,9,30",72.5
"2015,10,2",73.75
"2015,10,3",74.1176470588235
"2015,10,4",74.7126436781609
"2015,10,5",74.1176470588235
"2015,10,6",72.5
"2015,10,9",73.1707317073171
"2015,10,10",70.3296703296703
"2015,10,11",70.9677419354839
"2015,10,12",70.3296703296703
"2015,10,13",72.463768115942
"2015,10,16",68.3333333333333
"2015,10,17",72.4137931034483
"2015,10,18",71.1864406779661
"2015,10,19",74.6478873239437
"2015,10,20",79.7297297297297
"2015,10,23",78.8732394366197
"2015,10,24",83.3333333333333
"2015,10,25",83.3333333333333
"2015,10,27",82.5396825396825
"2015,10,30",82.258064516129
"2015,11,1",80.6451612903226
"2015,11,2",81.9672131147541
"2015,11,3",82.258064516129
"2015,11,4",82.258064516129
"2015,11,7",83.6065573770492
"2015,11,8",83.3333333333333
"2015,11,9",82.258064516129
"2015,11,10",82.5396825396825
"2015,11,11",81.6666666666667
"2015,11,14",90
"2015,11,15",89.7959183673469
"2015,11,16",88
"2015,11,17",88.4615384615385
"2015,11,18",87.7551020408163
"2015,11,21",87.5
"2015,11,22",90
"2015,11,23",89.1891891891892
"2015,11,24",86.6666666666667
"2015,11,28",87.5
"2015,11,29",84.8484848484848
"2015,11,30",84.8484848484848
"2015,11,31",84.8484848484848
"2016,0,4",82.3529411764706
"2016,0,5",78.3783783783784
"2016,0,6",75
"2016,0,7",75
"2016,0,8",75
"2016,0,11",76.4705882352941
"2016,0,12",76.4705882352941
"2016,0,13",75.7575757575758
"2016,0,14",69.7674418604651
"2016,0,15",68.0851063829787
"2016,0,19",65.3061224489796
"2016,0,20",63.4615384615385
"2016,0,21",62.962962962963
"2016,0,22",61.1111111111111
"2016,0,25",61.8181818181818
"2016,0,26",61.1111111111111
"2016,0,27",58.4905660377358
"2016,0,28",58.1818181818182
"2016,0,29",59.3220338983051
"2016,1,1",59.0163934426229
"2016,1,2",60.655737704918
"2016,1,3",63.0769230769231
"2016,1,4",64.1791044776119
"2016,1,5",65.1515151515152
"2016,1,8",68.1818181818182
"2016,1,9",69.2307692307692
"2016,1,10",68.6567164179104
"2016,1,11",68.1818181818182
"2016,1,12",65.1515151515152
"2016,1,16",65.1515151515152
"2016,1,17",65.0793650793651
"2016,1,18",67.2727272727273
"2016,1,19",68
"2016,1,22",72.7272727272727
"2016,1,23",71.6981132075472
"2016,1,24",74.5098039215686
"2016,1,25",75.5102040816327
"2016,1,26",75.5102040816327
"2016,1,29",74.5098039215686
"2016,2,1",73.5849056603774
"2016,2,2",75.9259259259259
"2016,2,3",73.0769230769231
"2016,2,4",72.9166666666667
"2016,2,7",70.5882352941177
"2016,2,8",68.0851063829787
"2016,2,9",67.3913043478261
"2016,2,10",70.5882352941177
"2016,2,11",71.4285714285714
"2016,2,14",72
"2016,2,15",73.469387755102
"2016,2,16",74.5098039215686
"2016,2,17",78
"2016,2,18",77.5510204081633
"2016,2,21",78.1818181818182
"2016,2,22",73.6842105263158
"2016,2,23",73.6842105263158
"2016,2,24",72
"2016,2,28",75
"2016,2,29",75
"2016,2,30",75
"2016,2,31",75.5102040816327
"2016,3,1",76.0869565217391
"2016,3,4",76.0869565217391
"2016,3,5",69.811320754717
"2016,3,6",71.6981132075472
"2016,3,7",72.2222222222222
"2016,3,8",74
"2016,3,11",74.5098039215686
"2016,3,12",74.5098039215686
"2016,3,13",72.3404255319149
"2016,3,14",71.1111111111111
"2016,3,15",71.1111111111111
"2016,3,18",70.8333333333333
"2016,3,19",63.5135135135135
"2016,3,20",62.3529411764706
"2016,3,21",61.5384615384615
"2016,3,22",60.4166666666667
"2016,3,25",63.8297872340425
"2016,3,26",64.5833333333333
"2016,3,27",64.5833333333333
"2016,3,28",65.3061224489796
"2016,3,29",64.9484536082474
"2016,4,2",66.3366336633663
"2016,4,3",64.3564356435644
"2016,4,4",63.8095238095238
"2016,4,5",64.3564356435644
"2016,4,6",65.9340659340659
"2016,4,9",67.3913043478261
"2016,4,10",67.0212765957447
"2016,4,11",67.0212765957447
