ticker,date,value,volume
INTC,7/17/2017 10:07,34.48,2001900
INTC,7/17/2017 10:09,34.48,2001900
INTC,7/17/2017 10:09,34.48,2001900
INTC,7/17/2017 10:10,34.48,2001900
INTC,7/17/2017 10:11,34.48,2001900
INTC,7/17/2017 10:11,34.48,2001900
INTC,7/17/2017 10:12,34.48,2001900
INTC,7/17/2017 10:12,34.48,2001900
INTC,7/17/2017 10:13,34.48,2001900
INTC,7/17/2017 10:13,34.48,2001900
INTC,7/17/2017 10:14,34.48,2001900
INTC,7/17/2017 10:14,34.48,2001900
INTC,7/17/2017 10:15,34.48,2001900
INTC,7/17/2017 10:15,34.48,2001900
INTC,7/17/2017 10:16,34.48,2001900
INTC,7/17/2017 10:16,34.48,2001900
INTC,7/17/2017 10:17,34.54,2385476
INTC,7/17/2017 10:17,34.54,2385476
INTC,7/17/2017 10:18,34.54,2385476
INTC,7/17/2017 10:18,34.54,2385476
INTC,7/17/2017 10:19,34.54,2385476
INTC,7/17/2017 10:19,34.54,2385476
INTC,7/17/2017 10:20,34.54,2385476
INTC,7/17/2017 10:20,34.54,2385476
INTC,7/17/2017 10:21,34.54,2385476
INTC,7/17/2017 10:21,34.54,2385476
INTC,7/17/2017 10:22,34.54,2385476
INTC,7/17/2017 10:22,34.54,2385476
INTC,7/17/2017 10:23,34.54,2385476
INTC,7/17/2017 10:23,34.54,2385476
INTC,7/17/2017 10:24,34.54,2385476
INTC,7/17/2017 10:24,34.54,2385476
INTC,7/17/2017 10:25,34.54,2385476
INTC,7/17/2017 10:25,34.54,2385476
INTC,7/17/2017 10:26,34.54,2385476
INTC,7/17/2017 10:26,34.54,2385476
INTC,7/17/2017 10:27,34.54,2385476
INTC,7/17/2017 10:27,34.56,2807407
INTC,7/17/2017 10:28,34.56,2807407
INTC,7/17/2017 10:28,34.56,2807407
INTC,7/17/2017 10:29,34.56,2807407
INTC,7/17/2017 10:29,34.56,2807407
INTC,7/17/2017 10:30,34.56,2807407
INTC,7/17/2017 10:30,34.56,2807407
INTC,7/17/2017 10:31,34.56,2807407
INTC,7/17/2017 10:31,34.56,2807407
INTC,7/17/2017 10:32,34.56,2807407
INTC,7/17/2017 10:32,34.56,2807407
